Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7u,C_0402_1005Metric,147.885,-110.617,90.0,bottom
C4,1u,C_0402_1005Metric,81.407,-62.865,180.0,bottom
C5,1u,C_0402_1005Metric,82.423,-69.85,180.0,bottom
C6,100n,C_0402_1005Metric,157.41,-117.983,270.0,bottom
C7,100n,C_0402_1005Metric,147.504,-108.331,0.0,bottom
C8,100n,C_0402_1005Metric,157.791,-109.474,180.0,bottom
C9,100n,C_0402_1005Metric,157.791,-115.663994,180.0,bottom
C10,100n,C_0402_1005Metric,150.047,-118.02,270.0,bottom
C11,1u,C_0402_1005Metric,151.063,-118.02,270.0,bottom
C12,100n,C_0402_1005Metric,203.089436,-104.534305,180.0,bottom
C13,100n,C_0402_1005Metric,88.9,-104.48582,0.0,bottom
C14,220p,C_0402_1005Metric,140.6525,-112.7125,0.0,bottom
C15,100n,C_0402_1005Metric,149.031,-118.02,270.0,bottom
D1,PRTR5V0U2X,SOT-143,83.693,-60.579,0.0,bottom
F_USBC1,500mA,Fuse_1206_3216Metric,80.9625,-60.071,270.0,bottom
R1,100,R_0402_1005Metric,148.463,-106.387,90.0,bottom
R2,100,R_0402_1005Metric,151.511,-106.387,270.0,bottom
R3,10k,R_0402_1005Metric,157.41,-114.173,270.0,bottom
R4,100k,R_0402_1005Metric,153.035,-105.918,180.0,bottom
R5,100k,R_0402_1005Metric,222.656885,-107.164145,180.0,bottom
R6,10k,R_0402_1005Metric,150.679,-119.507,180.0,bottom
R7,10k,R_0402_1005Metric,146.742,-110.617,270.0,bottom
R8,100,R_0402_1005Metric,150.495,-106.387,270.0,bottom
R9,100,R_0402_1005Metric,149.479,-106.387,90.0,bottom
R10,100k,R_0402_1005Metric,174.625,-101.6,90.0,bottom
R11,100k,R_0402_1005Metric,98.425,-101.6,90.0,bottom
R12,100k,R_0402_1005Metric,157.95625,-101.6,90.0,bottom
R13,100k,R_0402_1005Metric,75.795148,-107.15625,0.0,bottom
R14,100k,R_0402_1005Metric,208.548088,-112.068447,270.0,bottom
R15,100k,R_0402_1005Metric,69.088,-100.0125,90.0,bottom
R16,100k,R_0402_1005Metric,234.15625,-99.887387,270.0,bottom
R17,100k,R_0402_1005Metric,117.475,-101.6,90.0,bottom
R18,5.1k,R_0402_1005Metric,81.28,-55.84625,90.0,bottom
R19,100k,R_0402_1005Metric,136.525,-101.6,90.0,bottom
R20,100k,R_0402_1005Metric,193.675,-101.6,90.0,bottom
R21,100k,R_0402_1005Metric,146.842687,-119.390501,180.0,bottom
R23,1k,R_0402_1005Metric,142.082312,-119.390501,0.0,bottom
R24,5.1k,R_0402_1005Metric,84.201,-55.84625,270.0,bottom
U1,STM32F401CBUx,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,152.654,-112.903,90.0,bottom
U2,XC6206PxxxMR,SOT-23,81.026,-67.564,0.0,bottom
U3,74HC4051,TSSOP16,205.58125,-107.95,270.0,bottom
U4,74HC4051,TSSOP16,92.86875,-107.95,270.0,bottom
U5,OPA350,SOIC-8_3.9x4.9mm_P1.27mm,144.374097,-116.215501,180.0,bottom
USB1,TYPEC-304YSSW-ACP16,TYPEC-304YSSW-ACP16,82.55,-45.98125,180.0,bottom
Y1,8 MHz,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,154.616,-118.745,180.0,bottom
