Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7u","C_0402_1005Metric",147.885000,-110.617000,90.000000,bottom
"C4","1u","C_0402_1005Metric",81.407000,-62.865000,0.000000,bottom
"C5","1u","C_0402_1005Metric",82.423000,-69.850000,0.000000,bottom
"C6","100n","C_0402_1005Metric",157.410000,-117.983000,-90.000000,bottom
"C7","100n","C_0402_1005Metric",147.504000,-108.331000,180.000000,bottom
"C8","100n","C_0402_1005Metric",157.791000,-109.474000,0.000000,bottom
"C9","100n","C_0402_1005Metric",157.791000,-115.663994,0.000000,bottom
"C10","100n","C_0402_1005Metric",150.047000,-118.020000,-90.000000,bottom
"C11","1u","C_0402_1005Metric",151.063000,-118.020000,-90.000000,bottom
"C12","100n","C_0402_1005Metric",203.089436,-104.534305,0.000000,bottom
"C13","100n","C_0402_1005Metric",88.900000,-104.485820,180.000000,bottom
"C14","220p","C_0402_1005Metric",140.652500,-112.712500,180.000000,bottom
"C15","100n","C_0402_1005Metric",149.031000,-118.020000,-90.000000,bottom
"D1","PRTR5V0U2X","SOT-143",83.693000,-60.579000,180.000000,bottom
"F_USBC1","500mA","Fuse_1206_3216Metric",80.962500,-60.071000,-90.000000,bottom
"R1","100","R_0402_1005Metric",148.463000,-106.387000,90.000000,bottom
"R2","100","R_0402_1005Metric",151.511000,-106.387000,-90.000000,bottom
"R3","10k","R_0402_1005Metric",157.410000,-114.173000,-90.000000,bottom
"R4","100k","R_0402_1005Metric",153.035000,-105.918000,0.000000,bottom
"R5","100k","R_0402_1005Metric",222.656885,-107.164145,0.000000,bottom
"R6","10k","R_0402_1005Metric",150.679000,-119.507000,0.000000,bottom
"R7","10k","R_0402_1005Metric",146.742000,-110.617000,-90.000000,bottom
"R8","100","R_0402_1005Metric",150.495000,-106.387000,-90.000000,bottom
"R9","100","R_0402_1005Metric",149.479000,-106.387000,90.000000,bottom
"R10","100k","R_0402_1005Metric",174.625000,-101.600000,90.000000,bottom
"R11","100k","R_0402_1005Metric",98.425000,-101.600000,90.000000,bottom
"R12","100k","R_0402_1005Metric",157.956250,-101.600000,90.000000,bottom
"R13","100k","R_0402_1005Metric",75.795148,-107.156250,180.000000,bottom
"R14","100k","R_0402_1005Metric",208.548088,-112.068447,-90.000000,bottom
"R15","100k","R_0402_1005Metric",69.088000,-100.012500,90.000000,bottom
"R16","100k","R_0402_1005Metric",234.156250,-99.887387,-90.000000,bottom
"R17","100k","R_0402_1005Metric",117.475000,-101.600000,90.000000,bottom
"R18","5.1k","R_0402_1005Metric",81.280000,-55.846250,90.000000,bottom
"R19","100k","R_0402_1005Metric",136.525000,-101.600000,90.000000,bottom
"R20","100k","R_0402_1005Metric",193.675000,-101.600000,90.000000,bottom
"R21","100k","R_0402_1005Metric",146.842687,-119.390501,0.000000,bottom
"R23","1k","R_0402_1005Metric",142.082312,-119.390501,180.000000,bottom
"R24","5.1k","R_0402_1005Metric",84.201000,-55.846250,-90.000000,bottom
"U1","STM32F401CBUx","QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm",152.654000,-112.903000,90.000000,bottom
"U2","XC6206PxxxMR","SOT-23",81.026000,-67.564000,180.000000,bottom
"U3","74HC4051","TSSOP16",205.581250,-107.950000,-90.000000,bottom
"U4","74HC4051","TSSOP16",92.868750,-107.950000,-90.000000,bottom
"U5","OPA350","SOIC-8_3.9x4.9mm_P1.27mm",144.374097,-116.215501,0.000000,bottom
"USB1","TYPEC-304YSSW-ACP16","TYPEC-304YSSW-ACP16",82.550000,-45.981250,0.000000,bottom
"Y1","8 MHz","Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm",154.616000,-118.745000,0.000000,bottom
